>>> abydos (Linux - v0.2.1 - July 11, 2020) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
1st Publisher Clip Art Format (PFS)		art	No	No	Yes	Yes	No
Acorn Sprite	image/x-acorn-sprite, image/x-riscos-sprite	acorn	Yes	No	No	No	No
Adobe Photoshop			Partial	No	Partial	Partial	Partial
Adobe Photoshop version 1	image/vnd.adobe.photoshop	psd	Yes	No	Yes	Yes	Yes
Adobe Photoshop version 2		psb	No	No	No	No	No
Alias PIX Image File	image/x-alias-pix	alias, als, img, pix	Yes	No	Yes	No	No
Amiga Metafile (AMFF)	image/x-amff	amf	Yes	No	No	No	No
Amiga Workbench icon	image/x-amiga-icon	info	Yes	No	Yes	No	No
AMOS Memory Bank	application/x-amos-memorybank	abk	Yes	No	Yes	No	No
AMOS Icon Bank	image/x-amos-iconbank	abk	Yes	No	Yes	No	No
AMOS Screen	application/x-amos-memorybank	abk	Yes	No	Yes	No	No
AMOS Sprite Bank	image/x-amos-spritebank	abk	Yes	No	Yes	No	No
AMOS Picture Packer	image/x-amos-picturepacker	bin	Yes	No	No	No	No
Andrew Toolkit raster object	image/x-andrew-toolkit-raster	atk, cmu	Yes	No	No	No	No
Ani ST	image/x-ani-st	scr, str	Yes	No	No	No	No
ANSI art	text/x-ansi	ans	Yes	No	Yes	No	Yes
Apple Icon Image (ICNS)	image/x-icns	icns	Yes	Lacks variant support	Yes	No	No
ArtMaster	image/x-artmaster	img	Yes	No	No	No	No
ArtWorx Data Format (ADF)	image/x-artworx	adf	Yes	No	Yes	No	Yes
Aseprite Format (ASE)	image/x-aseprite	ase, aseprite	Yes	No	No	No	No
Atari CAD	image/x-atari-cad	drg	Yes	No	No	No	No
Atari ST RGB intermediate	image/x-atari-rgb-intermediate	rgb	Yes	No	No	No	No
Autodesk Animator (FLI/FLC)	application/autodesk-animator, video/x-flic	cel, flc, flh, fli, flt, flx	No	No	No	No	Partial
FLC	video/x-flc	flc	No	No	No	No	Yes
FLI	application/autodesk-animator, video/x-flic	fli	No	No	No	No	No
AV1 Image File Format (AVIF)	image/avif, image/avif-sequence	avif, avifs, heif, hif	Yes	No	No	Yes	No
Avatar/0	text/x-avatar0	avt, bbs	Yes	No	No	No	No
BBC Microcomputer display RAM	image/x-bbc-micro-screendump		Yes	No	No	No	No
Bennet Yee's face format (YBM)	image/x-bennet-yee-face	bm	Yes	No	Yes	No	No
Better Portable Graphics (BPG)	image/bpg, image/x-bpg	bpg	Yes	No	No	Yes	No
Binary Text	text/x-binary	bin	Yes	No	Yes	No	Yes
Blazing Paddles	image/x-blazing-paddles	pi, wnd	Yes	No	No	No	No
Canon EOS-1D Mark II RAW	image/x-canon-cr2	cr2	Yes	No	No	No	No
Canon PowerShot	image/x-canon-crw	crw	Yes	No	No	No	No
Cebra Teletext (TTX)	application/x.teletext.ttx	ttx	Yes	No	No	No	No
Cheese	image/x-cheese	che	Yes	No	No	No	No
Comic Book Archive			Yes	No	Partial	No	Partial
Comic Book Archive 7z format (CB7)	application/x-cb7	cb7	Yes	No	No	No	No
Comic Book Archive ACE format (CBA)	application/x-cba	cba	Yes	No	No	No	No
